"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRAF6",0.0171644374236692,0.257917197432885,0.102,0.051,1
"PLXDC1",0.0173772295190274,-0.418881758611379,0.042,0.113,1
"THEM4",0.0177221718533922,-0.59053237634036,0.11,0.187,1
"SMAD4",0.0177976399127064,0.279098810158639,0.153,0.087,1
"NDUFB8",0.0179382372918439,0.255401841173161,0.297,0.194,1
"C1QB",0.0180074040909715,-1.28932112809631,0.076,0.147,1
"CMPK1",0.0181539264406735,0.281437952499379,0.39,0.268,1
"SUB1",0.0181545499728097,-0.526249321772638,0.28,0.352,1
"KLRG1",0.0181579081449191,-0.551401400429354,0.085,0.158,1
"MRTFB",0.0181864153296208,0.273679773907086,0.102,0.052,1
"PDE4B",0.0184227693295175,0.328403049824938,0.153,0.087,1
"CASP4",0.0184658270424233,-0.518255889108415,0.11,0.19,1
"ATP6V0B",0.0185906936176073,-0.658728513260287,0.161,0.237,1
"HERPUD2",0.0186919671188109,-0.381323966967879,0.102,0.185,1
"DNAJC15",0.0189282493648787,0.341993479262753,0.169,0.102,1
"LRBA",0.0189729181477025,-0.513914525114416,0.059,0.13,1
"WDR26",0.0189882372766464,-0.533945391906129,0.127,0.206,1
"POLR2B",0.0192471595559182,-0.495776596227243,0.093,0.167,1
"ARMC8",0.0192728102474315,-0.462743339797151,0.042,0.108,1
"SNHG6",0.0194761974899365,-0.610167979210756,0.288,0.352,1
"IFI16",0.0195462755330735,-0.338500670900402,0.195,0.283,1
"CARMN",0.0197468288073463,0.436689439350724,0.212,0.133,1
"PTPN2",0.0199428445895134,-0.502342572932309,0.153,0.234,1
"SUGP2",0.0200194910227073,-0.351023435110148,0.127,0.215,1
"LANCL1",0.0200727993994278,0.271810264858535,0.136,0.077,1
"MTF2",0.0201335195151715,-0.463905914743698,0.059,0.13,1
"AP2S1",0.0207409736208641,-0.579734320124186,0.119,0.196,1
"ERBIN",0.0209639362961027,-0.564489929994468,0.136,0.204,1
"SHKBP1",0.0210074575496175,-0.607289373409181,0.11,0.181,1
"PAXBP1",0.0210485182566006,-0.511079210294843,0.042,0.106,1
"CD93",0.0211306910619903,-0.645099552366049,0.042,0.107,1
"ENSA",0.0212329972918947,0.300470269989101,0.331,0.23,1
"NACA",0.0212856604997873,-0.483309695933963,0.585,0.561,1
"JMJD1C",0.0218585320737496,-0.561359161953433,0.153,0.229,1
"PPP1R12A",0.022054241255353,0.388007012367167,0.398,0.274,1
"ABI1",0.0221864921233017,-0.496482089829718,0.093,0.162,1
"NABP1",0.0222259862864292,-0.354609253076164,0.042,0.106,1
"SLC7A6",0.0222664995578096,-0.494544609726327,0.042,0.104,1
"EIF1",0.0223578933927046,-0.322356267449432,0.831,0.851,1
"LOC100130451",0.0223627337158751,-0.569448614993563,0.102,0.179,1
"TRIR",0.0224340634682182,-0.550474417183712,0.356,0.394,1
"TNFRSF9",0.0225272603161695,-0.500710319156413,0.076,0.151,1
"AMZ2",0.022934684278361,-0.4270672649609,0.042,0.104,1
"DNAJC1",0.0229557318694977,-0.547913675037715,0.093,0.166,1
"CABP4",0.0230386802673894,-0.494304047192677,0.093,0.167,1
"RNU4ATAC",0.0231317012566526,-0.407953434065739,0.076,0.148,1
"LAMP2",0.0232182895026521,0.282640532976472,0.314,0.217,1
"RORA",0.023222490716385,-0.652657218423334,0.136,0.204,1
"EHBP1",0.0234022026682781,0.434400422591253,0.11,0.059,1
