"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STK17B.4",3.24278474656246e-129,0.95189153572023,0.704,0.194,6.62533351570176e-125,"Monocyte","STK17B"
"PYCARD.3",8.44096262379362e-129,0.99142730349985,0.634,0.164,1.72457307366727e-124,"Monocyte","PYCARD"
"EVI2A.3",1.38252035205566e-128,0.90924231159082,0.552,0.125,2.82462733128493e-124,"Monocyte","EVI2A"
"ADAM28.2",6.95072609997165e-128,0.765648662534739,0.368,0.059,1.42010284948521e-123,"Monocyte","ADAM28"
"IL10RA.4",7.86001014188478e-128,0.86901307680599,0.529,0.116,1.60587867208848e-123,"Monocyte","IL10RA"
"ITGAX.1",7.75757857577943e-126,0.51945950887779,0.228,0.022,1.5849508788175e-121,"Monocyte","ITGAX"
"S100A9.4",3.32477755060995e-125,3.91479140351335,0.52,0.129,6.7928530136512e-121,"Monocyte","S100A9"
"SERPINB9.2",5.65924312651597e-125,0.955520043366859,0.485,0.102,1.15623996317848e-120,"Monocyte","SERPINB9"
"MARCH1.2",7.70842701335191e-124,0.714828645372958,0.378,0.062,1.57490872309793e-119,"Monocyte","MARCH1"
"LUCAT1",1.07747142059646e-123,0.291993209953526,0.117,0.004,2.20138185942062e-119,"Monocyte","LUCAT1"
"SCIMP",1.28229165890498e-123,0.422264698512415,0.214,0.02,2.61985008830877e-119,"Monocyte","SCIMP"
"IL18.1",1.03793333317645e-122,0.661834074704643,0.31,0.043,2.1206015930128e-118,"Monocyte","IL18"
"CD33.1",2.46611151160613e-122,0.567000096362653,0.322,0.046,5.03851242936249e-118,"Monocyte","CD33"
"ACSL1.5",6.0958941806145e-122,1.1010874926155,0.527,0.123,1.24545214004135e-117,"Monocyte","ACSL1"
"CTSH.3",6.31028380486497e-122,1.14253667929691,0.795,0.293,1.28925408417196e-117,"Monocyte","CTSH"
"SYK.2",7.48696393035629e-121,0.623896465470483,0.326,0.049,1.52966160061109e-116,"Monocyte","SYK"
"OSCAR.1",9.73267252083814e-121,0.411055957969786,0.191,0.016,1.98848232273244e-116,"Monocyte","OSCAR"
"EVI2B.5",2.00183071820617e-120,0.986445335804569,0.627,0.169,4.08994034036703e-116,"Monocyte","EVI2B"
"SNX10.2",8.12710837622215e-120,0.600138578063365,0.319,0.046,1.66044951234595e-115,"Monocyte","SNX10"
"HIF1A.4",8.39389353914058e-120,1.31747877058991,0.8,0.326,1.71495638898181e-115,"Monocyte","HIF1A"
"PPT1.4",8.42054771557487e-119,1.186197643645,0.851,0.373,1.7204021037691e-114,"Monocyte","PPT1"
"IL10.1",2.00366864415622e-118,1.0330128284817,0.224,0.023,4.09369540687558e-114,"Monocyte","IL10"
"TGFBI.4",7.31349907839766e-116,0.918733568165113,0.732,0.223,1.49422099670742e-111,"Monocyte","TGFBI"
"SLC43A2.3",9.51598457040419e-116,0.795294539319086,0.436,0.089,1.94421080757928e-111,"Monocyte","SLC43A2"
"GCA.2",1.43861841245299e-115,1.01787675884396,0.585,0.158,2.93924127848271e-111,"Monocyte","GCA"
"BTK.2",1.81915642041235e-114,0.543699088863567,0.326,0.051,3.71671848254448e-110,"Monocyte","BTK"
"LILRB4.1",8.27418768328876e-114,0.691828169706568,0.359,0.06,1.69049928557273e-109,"Monocyte","LILRB4"
"LINC00936",4.91262165966808e-113,0.736869102946267,0.329,0.053,1.00369773128679e-108,"Monocyte","LINC00936"
"TLR1.1",5.22125621753205e-113,0.529439580653741,0.256,0.032,1.06675485780397e-108,"Monocyte","TLR1"
"FOS.5",5.62223531700878e-113,1.13560034121348,0.993,0.697,1.14867889761806e-108,"Monocyte","FOS"
"CCR1.1",7.05984483151228e-113,0.600619420008507,0.259,0.033,1.44239689752627e-108,"Monocyte","CCR1"
"PTGS2",8.06373247273634e-113,0.786521424145851,0.261,0.034,1.64750118150476e-108,"Monocyte","PTGS2"
"RP6-91H8.3",1.21141772024527e-112,0.612579434000102,0.184,0.016,2.47504754423311e-108,"Monocyte","RP6-91H8.3"
"FMNL1.4",1.40704085219064e-112,0.713996984242947,0.492,0.108,2.87472516511071e-108,"Monocyte","FMNL1"
"MXD1.1",4.51371240097842e-112,0.686807192038236,0.277,0.038,9.22196580643902e-108,"Monocyte","MXD1"
"FAM105A.1",5.05077036984019e-112,0.708699278350953,0.35,0.059,1.03192289426205e-107,"Monocyte","FAM105A"
"RNF144B.1",3.2581268645685e-111,0.655776912397488,0.263,0.035,6.65667899699991e-107,"Monocyte","RNF144B"
"ADAM8.1",9.81289428271595e-111,0.548175949943656,0.273,0.036,2.0048724309017e-106,"Monocyte","ADAM8"
"SORL1",1.28159902413074e-110,0.628508904864368,0.289,0.041,2.61843496620151e-106,"Monocyte","SORL1"
"MPEG1.1",2.75466694380898e-110,0.684301985753703,0.345,0.058,5.62806003289613e-106,"Monocyte","MPEG1"
"GRN.3",3.27717289010678e-110,1.21978589496935,0.869,0.446,6.69559193177716e-106,"Monocyte","GRN"
"IGFBP7.4",6.15672574313636e-108,-4.30412206679415,0.51,0.795,1.25788063658019e-103,"Monocyte","IGFBP7"
"OGFRL1.1",2.73702429742252e-107,0.704791166109668,0.382,0.073,5.59201434206395e-103,"Monocyte","OGFRL1"
"H3F3A.4",2.99179363458875e-107,0.984403550190223,0.995,0.885,6.11253357482827e-103,"Monocyte","H3F3A"
"LSP1.4",3.45862238938468e-107,1.17518880445677,0.706,0.249,7.06631140375184e-103,"Monocyte","LSP1"
"VAV1.1",1.04897059076148e-106,0.499067903222477,0.266,0.036,2.14315181398478e-102,"Monocyte","VAV1"
"NPC2.3",1.44164631118602e-106,1.07906009346209,0.979,0.63,2.94542757838416e-102,"Monocyte","NPC2"
